id,name,field,get_pv,set_pv,enable_pv,enable_value
3,SR01C-DI-EBPM-01,x,:SA:X,,:CF:ENABLED_S,1
3,SR01C-DI-EBPM-01,y,:SA:Y,,:CF:ENABLED_S,1
5,SR01A-PC-Q1D-01,b1,:I,:SETI,,
8,SR01A-PC-S1D-01,b2,:I,:SETI,,
8,SR01A-PC-HSTR-01,b0,:I,:SETI,,
8,SR01A-PC-VSTR-01,a0,:I,:SETI,,
11,SR01A-PC-Q2D-02,b1,:I,:SETI,,
13,SR01A-PC-Q3D-03,b1,:I,:SETI,,
16,SR01A-PC-S2D-02,b2,:I,:SETI,,
16,SR01A-PC-HSTR-02,b0,:I,:SETI,,
16,SR01A-PC-VSTR-02,a0,:I,:SETI,,
19,SR01C-DI-EBPM-02,x,:SA:X,,:CF:ENABLED_S,1
19,SR01C-DI-EBPM-02,y,:SA:Y,,:CF:ENABLED_S,1
21,SR-PC-DIPOL-01,b0,:I,:SETI,,
23,SR01A-PC-Q2AD-04,b1,:I,:SETI,,
25,SR01C-DI-EBPM-03,x,:SA:X,,:CF:ENABLED_S,1
25,SR01C-DI-EBPM-03,y,:SA:Y,,:CF:ENABLED_S,1
28,SR01A-PC-S2A-03,b2,:I,:SETI,,
28,SR01A-PC-HSTR-03,b0,:I,:SETI,,
28,SR01A-PC-VSTR-03,a0,:I,:SETI,,
31,SR01A-PC-Q1AD-05,b1,:I,:SETI,,
33,SR01C-DI-EBPM-04,x,:SA:X,,:CF:ENABLED_S,1
33,SR01C-DI-EBPM-04,y,:SA:Y,,:CF:ENABLED_S,1
36,SR01A-PC-S1A-04,b2,:I,:SETI,,
36,SR01A-PC-HSTR-04,b0,:I,:SETI,,
36,SR01A-PC-VSTR-04,a0,:I,:SETI,,
39,SR01A-PC-Q1AB-06,b1,:I,:SETI,,
42,SR01A-PC-S2A-05,b2,:I,:SETI,,
42,SR01A-PC-HSTR-05,b0,:I,:SETI,,
42,SR01A-PC-VSTR-05,a0,:I,:SETI,,
45,SR01A-PC-Q2AB-07,b1,:I,:SETI,,
47,SR01C-DI-EBPM-05,x,:SA:X,,:CF:ENABLED_S,1
47,SR01C-DI-EBPM-05,y,:SA:Y,,:CF:ENABLED_S,1
49,SR-PC-DIPOL-01,b0,:I,:SETI,,
52,SR01A-PC-S2C-06,b2,:I,:SETI,,
52,SR01A-PC-HSTR-06,b0,:I,:SETI,,
52,SR01A-PC-VSTR-06,a0,:I,:SETI,,
55,SR01A-PC-Q3B-08,b1,:I,:SETI,,
57,SR01C-DI-EBPM-06,x,:SA:X,,:CF:ENABLED_S,1
57,SR01C-DI-EBPM-06,y,:SA:Y,,:CF:ENABLED_S,1
59,SR01A-PC-Q2B-09,b1,:I,:SETI,,
62,SR01A-PC-S1C-07,b2,:I,:SETI,,
62,SR01A-PC-HSTR-07,b0,:I,:SETI,,
