el_id,family
1,source
2,LS
3,dlm_30
4,SE
5,BPM
6,dlm_29
7,GS
8,Q0L
9,dlm_28
10,O0X
10,HSTR
10,VSTR
11,dlm_27
12,Q1L
13,dlm_26
14,S1X
14,SQUAD
14,HSTR
14,VSTR
15,dlm_25
16,BPM
17,dlm_24
18,HFCM
19,VFCM
20,dlm_23
21,Q2L
22,dlm_22
23,DL1_5
24,DL1_4
25,DL1_3
26,DL1_2
27,DL1_1
28,dlm_21
29,Q3L
30,dlm_20
31,S2A
31,SQUAD
31,HSTR
31,VSTR
32,dlm_19
33,BPM
34,dlm_18
35,A1L
36,dlm_17
37,S3A
37,SQUAD
37,HSTR
37,VSTR
38,dlm_16
39,A2L
40,dlm_15
41,O1X
42,dlm_14
43,BPM
44,dlm_13
45,HFCM
46,VFCM
47,dlm_12
48,S4A
48,SQUAD
48,HSTR
48,VSTR
49,dlm_11
50,Q4N
51,dlm_10
52,DL2_1
53,DL2_2
54,DL2_3
55,DL2_4
56,DL2_5
57,dlm_09
58,S5X
58,SQUAD
58,HSTR
58,VSTR
59,dlm_08
60,HFCM
61,VFCM
62,dlm_07
63,BPM
64,dlm_06
65,Q5N
66,dlm_05
67,DQ1
68,dlm_04
69,Q6N
70,dlm_03
71,S6X
71,SQUAD
71,HSTR
71,VSTR
72,GE
73,dlm_02
74,BPM
75,SE
76,dlm_01
77,source
78,MS
79,dms_27
80,SE
81,BPM
82,dms_26
83,HFCM
84,VFCM
85,dms_25
86,GS
87,S6X
87,SQUAD
87,HSTR
87,VSTR
88,dms_24
89,Q6N
90,dms_23
91,DQ1
92,dms_22
93,Q5N
94,dms_21
95,BPM
96,dms_20
97,S5X
97,SQUAD
97,HSTR
97,VSTR
98,dms_19
99,DL3_5
100,DL3_4
101,DL3_3
102,DL3_2
103,DL3_1
104,dms_18
105,Q4N
106,dms_17
107,S4A
107,SQUAD
107,HSTR
107,VSTR
108,dms_16
109,BPM
110,dms_15
111,HFCM
112,VFCM
113,dms_14
114,O1X
115,dms_13
116,A2N
117,dms_12
118,S3A
118,SQUAD
119,dms_11
120,A1N
121,dms_10
122,AP_Hcoll
123,HFCM
124,VFCM
125,dms_09
126,BPM
127,dms_08
128,S2A
128,SQUAD
128,HSTR
128,VSTR
129,dms_07
130,Q3N
131,dms_06
132,DL4_1
133,DL4_2
134,DL4_3
135,DL4_4
136,DL4_5
137,dms_05
