id,name,field,get_pv,set_pv
3,SR01C-DI-EBPM-01,x,SR01C-DI-EBPM-01:SA:X,
3,SR01C-DI-EBPM-01,y,SR01C-DI-EBPM-01:SA:Y,
3,SR01C-DI-EBPM-01,enabled,SR01C-DI-EBPM-01:CF:ENABLED_S,
3,SR01C-DI-EBPM-01,x_fast_disabled,SR01C-PC-HBPM-01:FAST:DISABLED,
3,SR01C-DI-EBPM-01,x_slow_disabled,SR01C-PC-HBPM-01:SLOW:DISABLED,
3,SR01C-DI-EBPM-01,y_fast_disabled,SR01C-PC-VBPM-01:FAST:DISABLED,
3,SR01C-DI-EBPM-01,y_slow_disabled,SR01C-PC-HBPM-01:FAST:DISABLED,
5,SR01A-PC-Q1D-01,b1,SR01A-PC-Q1D-01:I,SR01A-PC-Q1D-01:SETI
8,SR01A-PC-S1D-01,b2,SR01A-PC-S1D-01:I,SR01A-PC-S1D-01:SETI
8,SR01A-PC-HSTR-01,b0,SR01A-PC-HSTR-01:I,SR01A-PC-HSTR-01:SETI
8,SR01A-PC-HSTR-01,h_fast_disabled,SR01A-PC-HSTR-01:FAST:DISABLED,
8,SR01A-PC-HSTR-01,h_slow_disabled,SR01A-PC-HSTR-01:SLOW:DISABLED,
8,SR01A-PC-VSTR-01,a0,SR01A-PC-VSTR-01:I,SR01A-PC-VSTR-01:SETI
8,SR01A-PC-VSTR-01,v_fast_disabled,SR01A-PC-VSTR-01:FAST:DISABLED,
8,SR01A-PC-VSTR-01,v_slow_disabled,SR01A-PC-VSTR-01:SLOW:DISABLED,
11,SR01A-PC-Q2D-02,b1,SR01A-PC-Q2D-02:I,SR01A-PC-Q2D-02:SETI
13,SR01A-PC-Q3D-03,b1,SR01A-PC-Q3D-03:I,SR01A-PC-Q3D-03:SETI
16,SR01A-PC-S2D-02,b2,SR01A-PC-S2D-02:I,SR01A-PC-S2D-02:SETI
16,SR01A-PC-HSTR-02,b0,SR01A-PC-HSTR-02:I,SR01A-PC-HSTR-02:SETI
16,SR01A-PC-HSTR-02,h_fast_disabled,SR01A-PC-HSTR-02:FAST:DISABLED,
16,SR01A-PC-HSTR-02,h_slow_disabled,SR01A-PC-HSTR-02:SLOW:DISABLED,
16,SR01A-PC-VSTR-02,a0,SR01A-PC-VSTR-02:I,SR01A-PC-VSTR-02:SETI
16,SR01A-PC-VSTR-02,v_fast_disabled,SR01A-PC-VSTR-02:FAST:DISABLED,
16,SR01A-PC-VSTR-02,v_slow_disabled,SR01A-PC-VSTR-02:SLOW:DISABLED,
19,SR01C-DI-EBPM-02,x,SR01C-DI-EBPM-02:SA:X,
19,SR01C-DI-EBPM-02,y,SR01C-DI-EBPM-02:SA:Y,
19,SR01C-DI-EBPM-02,enabled,SR01C-DI-EBPM-02:CF:ENABLED_S,
19,SR01C-DI-EBPM-02,x_fast_disabled,SR01C-PC-HBPM-02:FAST:DISABLED,
19,SR01C-DI-EBPM-02,x_slow_disabled,SR01C-PC-HBPM-02:SLOW:DISABLED,
19,SR01C-DI-EBPM-02,y_fast_disabled,SR01C-PC-VBPM-02:FAST:DISABLED,
19,SR01C-DI-EBPM-02,y_slow_disabled,SR01C-PC-HBPM-02:FAST:DISABLED,
21,SR-PC-DIPOL-01,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
23,SR01A-PC-Q2AD-04,b1,SR01A-PC-Q2AD-04:I,SR01A-PC-Q2AD-04:SETI
25,SR01C-DI-EBPM-03,x,SR01C-DI-EBPM-03:SA:X,
25,SR01C-DI-EBPM-03,y,SR01C-DI-EBPM-03:SA:Y,
25,SR01C-DI-EBPM-03,enabled,SR01C-DI-EBPM-03:CF:ENABLED_S,
25,SR01C-DI-EBPM-03,x_fast_disabled,SR01C-PC-HBPM-03:FAST:DISABLED,
25,SR01C-DI-EBPM-03,x_slow_disabled,SR01C-PC-HBPM-03:SLOW:DISABLED,
25,SR01C-DI-EBPM-03,y_fast_disabled,SR01C-PC-VBPM-03:FAST:DISABLED,
25,SR01C-DI-EBPM-03,y_slow_disabled,SR01C-PC-HBPM-03:FAST:DISABLED,
28,SR01A-PC-S2A-03,b2,SR01A-PC-S2A-03:I,SR01A-PC-S2A-03:SETI
28,SR01A-PC-HSTR-03,b0,SR01A-PC-HSTR-03:I,SR01A-PC-HSTR-03:SETI
28,SR01A-PC-HSTR-03,h_fast_disabled,SR01A-PC-HSTR-03:FAST:DISABLED,
28,SR01A-PC-HSTR-03,h_slow_disabled,SR01A-PC-HSTR-03:SLOW:DISABLED,
28,SR01A-PC-VSTR-03,a0,SR01A-PC-VSTR-03:I,SR01A-PC-VSTR-03:SETI
28,SR01A-PC-VSTR-03,v_fast_disabled,SR01A-PC-VSTR-03:FAST:DISABLED,
28,SR01A-PC-VSTR-03,v_slow_disabled,SR01A-PC-VSTR-03:SLOW:DISABLED,
31,SR01A-PC-Q1AD-05,b1,SR01A-PC-Q1AD-05:I,SR01A-PC-Q1AD-05:SETI
33,SR01C-DI-EBPM-04,x,SR01C-DI-EBPM-04:SA:X,
33,SR01C-DI-EBPM-04,y,SR01C-DI-EBPM-04:SA:Y,
33,SR01C-DI-EBPM-04,enabled,SR01C-DI-EBPM-04:CF:ENABLED_S,
33,SR01C-DI-EBPM-04,x_fast_disabled,SR01C-PC-HBPM-04:FAST:DISABLED,
33,SR01C-DI-EBPM-04,x_slow_disabled,SR01C-PC-HBPM-04:SLOW:DISABLED,
33,SR01C-DI-EBPM-04,y_fast_disabled,SR01C-PC-VBPM-04:FAST:DISABLED,
33,SR01C-DI-EBPM-04,y_slow_disabled,SR01C-PC-HBPM-04:FAST:DISABLED,
36,SR01A-PC-S1A-04,b2,SR01A-PC-S1A-04:I,SR01A-PC-S1A-04:SETI
36,SR01A-PC-HSTR-04,b0,SR01A-PC-HSTR-04:I,SR01A-PC-HSTR-04:SETI
36,SR01A-PC-HSTR-04,h_fast_disabled,SR01A-PC-HSTR-04:FAST:DISABLED,
36,SR01A-PC-HSTR-04,h_slow_disabled,SR01A-PC-HSTR-04:SLOW:DISABLED,
36,SR01A-PC-VSTR-04,a0,SR01A-PC-VSTR-04:I,SR01A-PC-VSTR-04:SETI
36,SR01A-PC-VSTR-04,v_fast_disabled,SR01A-PC-VSTR-04:FAST:DISABLED,
36,SR01A-PC-VSTR-04,v_slow_disabled,SR01A-PC-VSTR-04:SLOW:DISABLED,
39,SR01A-PC-Q1AB-06,b1,SR01A-PC-Q1AB-06:I,SR01A-PC-Q1AB-06:SETI
42,SR01A-PC-S2A-05,b2,SR01A-PC-S2A-05:I,SR01A-PC-S2A-05:SETI
42,SR01A-PC-HSTR-05,b0,SR01A-PC-HSTR-05:I,SR01A-PC-HSTR-05:SETI
42,SR01A-PC-HSTR-05,h_fast_disabled,SR01A-PC-HSTR-05:FAST:DISABLED,
42,SR01A-PC-HSTR-05,h_slow_disabled,SR01A-PC-HSTR-05:SLOW:DISABLED,
