uc_id,eng,phy
4,180.00000000,-17.56000000
4,100.00000000,-9.85000000
4,50.00000000,-4.95000000
5,180.00000000,17.62000000
5,100.00000000,9.87000000
5,50.00000000,4.96000000
6,180.00000000,-17.53000000
6,100.00000000,-9.87000000
6,50.00000000,-4.96000000
7,180.00000000,-17.59000000
7,100.00000000,-9.87000000
7,50.00000000,-4.96000000
8,180.00000000,17.56000000
8,100.00000000,9.86000000
8,50.00000000,4.96000000
9,180.00000000,17.56000000
9,100.00000000,9.87000000
9,50.00000000,4.96000000
10,180.00000000,-17.62000000
10,100.00000000,-9.90000000
10,50.00000000,-4.98000000
11,180.00000000,-17.55000000
11,100.00000000,-9.91000000
11,50.00000000,-4.98000000
12,180.00000000,17.70000000
12,100.00000000,9.92000000
12,50.00000000,4.99000000
13,180.00000000,-17.60000000
13,100.00000000,-9.89000000
13,50.00000000,-4.97000000
14,0.00000000,-0.08300626
14,50.00000000,-28.19263554
14,100.00000000,-54.53542886
14,150.00000000,-66.99082248
14,170.00000000,-69.53236141
14,180.00000000,-70.41851561
14,186.00000000,-70.82774732
14,192.00000000,-71.18159332
14,196.00000000,-71.40620889
14,200.00000000,-71.59697871
15,0.00000000,-0.09389143
15,50.00000000,-28.12800752
15,100.00000000,-54.49144387
15,150.00000000,-66.91716203
15,170.00000000,-69.47716249
15,180.00000000,-70.37716214
15,186.00000000,-70.80573436
15,192.00000000,-71.16573584
15,196.00000000,-71.38287812
15,200.00000000,-71.58859139
16,0.00000000,0.08188309
16,50.00000000,28.19692309
16,100.00000000,54.56923078
16,150.00000000,66.97846156
16,170.00000000,69.51692312
16,180.00000000,70.39384616
16,186.00000000,70.81076926
16,192.00000000,71.17230771
16,196.00000000,71.39076924
16,200.00000000,71.59076926
17,0.00000000,0.06134180
17,50.00000000,28.15233634
17,100.00000000,54.45236061
17,150.00000000,66.95391309
17,170.00000000,69.50776347
17,180.00000000,70.38776091
17,186.00000000,70.80929562
17,192.00000000,71.16622195
17,196.00000000,71.37545575
17,200.00000000,71.57237045
18,0.00000000,0.07758058
18,50.00000000,28.20857291
18,100.00000000,54.58857373
18,150.00000000,67.00286021
18,170.00000000,69.54857435
18,180.00000000,70.41143157
18,186.00000000,70.82571736
18,192.00000000,71.19428865
18,196.00000000,71.40000344
18,200.00000000,71.59428979
19,0.00000000,0.05716930
19,50.00000000,28.13201713
19,100.00000000,54.46575160
19,150.00000000,66.95718738
19,170.00000000,69.51718841
19,180.00000000,70.40861798
19,186.00000000,70.83147300
19,192.00000000,71.19432961
19,196.00000000,71.41433463
19,200.00000000,71.61719138
20,0.00000000,0.07732946
20,50.00000000,28.25200552
20,100.00000000,54.55693389
20,150.00000000,66.99385843
20,170.00000000,69.53539676
20,180.00000000,70.41847496
20,186.00000000,70.83693623
20,192.00000000,71.20001331
20,196.00000000,71.41847472
20,200.00000000,71.61539787
21,0.00000000,0.06174236
21,50.00000000,28.06802266
21,100.00000000,54.34861419
21,150.00000000,66.93719628
21,170.00000000,69.51148504
21,180.00000000,70.41148555
21,186.00000000,70.84291481
21,192.00000000,71.21148645
21,196.00000000,71.43148733
21,200.00000000,71.63148796
22,0.00000000,0.06849648
22,50.00000000,28.19919441
22,100.00000000,54.57724538
22,150.00000000,67.02584050
22,170.00000000,69.57727416
22,180.00000000,70.46298860
22,186.00000000,70.88584698
22,192.00000000,71.24584765
22,196.00000000,71.46299263
22,200.00000000,71.66299211
23,0.00000000,0.05381865
23,50.00000000,28.15816153
23,100.00000000,54.50770676
23,150.00000000,67.02155573
23,170.00000000,69.59694136
23,180.00000000,70.48309475
23,186.00000000,70.90771119
23,192.00000000,71.25848119
23,196.00000000,71.47078703
23,200.00000000,71.66771203
24,180.00000000,17.59000000
24,100.00000000,9.85000000
24,50.00000000,4.93000000
25,-180.00000000,17.65000000
25,-100.00000000,9.85000000
25,-50.00000000,4.93000000
26,180.00000000,17.58000000
26,100.00000000,9.89000000
26,50.00000000,4.96000000
27,180.00000000,17.61000000
27,100.00000000,9.84000000
27,50.00000000,4.92000000
28,180.00000000,17.59000000
28,100.00000000,9.84000000
28,50.00000000,4.93000000
29,-180.00000000,17.44000000
29,-100.00000000,9.73000000
29,-50.00000000,4.87000000
30,180.00000000,17.58000000
30,100.00000000,9.89000000
30,50.00000000,4.96000000
31,180.00000000,17.62000000
31,100.00000000,9.87000000
31,50.00000000,4.93000000
32,100.00000000,321.29000000
32,90.00000000,293.90000000
32,50.00000000,165.89000000
32,25.00000000,83.00000000
33,100.00000000,-321.29000000
33,90.00000000,-293.90000000
33,50.00000000,-165.89000000
33,25.00000000,-83.00000000
34,100.00000000,-328.35000000
34,90.00000000,-303.27000000
34,50.00000000,-172.15000000
34,25.00000000,-85.37000000
35,100.00000000,-328.56000000
35,90.00000000,-303.71000000
35,50.00000000,-172.57000000
35,25.00000000,-85.97000000
